iter	Passed	Remaining
981	6741	6988
982	6748	6981
983	6755	6974
984	6762	6968
985	6769	6961
986	6776	6954
987	6783	6947
988	6790	6941
989	6798	6935
990	6805	6929
991	6813	6923
992	6820	6917
993	6828	6910
994	6835	6904
995	6842	6897
996	6850	6891
997	6857	6885
998	6865	6879
999	6873	6873
1000	6880	6866
1001	6888	6861
1002	6896	6855
1003	6903	6848
1004	6911	6842
1005	6918	6836
1006	6926	6830
1007	6934	6824
1008	6941	6817
1009	6949	6811
1010	6956	6805
1011	6964	6798
1012	6971	6792
1013	6978	6785
1014	6985	6779
1015	6993	6773
1016	7000	6766
1017	7007	6760
1018	7015	6753
1019	7022	6747
1020	7030	6741
1021	7037	6734
1022	7045	6728
1023	7051	6721
1024	7059	6715
1025	7066	6708
1026	7073	6701
1027	7079	6694
1028	7087	6687
1029	7094	6680
1030	7101	6674
1031	7107	6666
1032	7114	6659
1033	7121	6652
1034	7128	6645
1035	7135	6639
1036	7141	6632
1037	7149	6625
1038	7155	6618
1039	7162	6611
1040	7169	6604
1041	7177	6598
1042	7183	6591
1043	7191	6585
1044	7199	6579
1045	7206	6572
1046	7213	6565
1047	7220	6559
1048	7227	6552
1049	7234	6545
1050	7242	6539
1051	7249	6532
1052	7256	6526
1053	7263	6519
1054	7270	6512
1055	7277	6505
1056	7284	6498
1057	7291	6492
1058	7298	6485
1059	7305	6478
1060	7312	6471
1061	7319	6465
1062	7327	6458
1063	7334	6452
1064	7341	6445
1065	7348	6438
1066	7356	6432
1067	7363	6426
1068	7371	6420
1069	7379	6413
1070	7385	6406
1071	7393	6400
1072	7401	6394
1073	7407	6387
1074	7414	6380
1075	7421	6373
1076	7429	6366
1077	7436	6360
1078	7444	6354
1079	7451	6347
1080	7458	6340
1081	7466	6334
1082	7473	6327
1083	7480	6321
1084	7487	6314
1085	7495	6308
1086	7503	6302
1087	7510	6295
1088	7517	6288
1089	7525	6282
1090	7532	6275
1091	7539	6269
1092	7546	6262
1093	7553	6255
1094	7560	6249
1095	7567	6242
1096	7574	6235
1097	7581	6227
1098	7587	6220
1099	7594	6213
1100	7601	6206
1101	7608	6199
1102	7614	6192
1103	7622	6186
1104	7628	6178
1105	7636	6172
1106	7643	6165
1107	7650	6159
1108	7658	6152
1109	7665	6146
1110	7672	6139
1111	7679	6132
1112	7686	6125
1113	7693	6118
1114	7700	6112
1115	7707	6105
1116	7714	6098
1117	7721	6091
1118	7728	6084
1119	7736	6078
1120	7743	6071
1121	7750	6064
1122	7756	6057
1123	7763	6050
1124	7771	6044
1125	7779	6038
1126	7786	6031
1127	7793	6024
1128	7800	6018
1129	7807	6011
1130	7815	6004
1131	7822	5998
1132	7830	5991
1133	7837	5984
1134	7843	5977
1135	7850	5971
1136	7857	5964
1137	7864	5957
1138	7871	5950
1139	7878	5943
1140	7886	5937
1141	7893	5930
1142	7900	5923
1143	7907	5916
1144	7914	5910
1145	7922	5903
1146	7929	5896
1147	7936	5889
1148	7943	5883
1149	7950	5876
1150	7957	5869
1151	7964	5862
1152	7971	5855
1153	7978	5849
1154	7985	5842
1155	7992	5835
1156	8000	5829
1157	8008	5823
1158	8015	5816
1159	8023	5810
1160	8030	5803
1161	8038	5797
1162	8046	5790
1163	8054	5784
1164	8062	5778
1165	8070	5772
1166	8077	5765
1167	8083	5758
1168	8091	5752
1169	8099	5745
1170	8106	5738
1171	8113	5732
1172	8120	5725
1173	8127	5718
1174	8134	5711
1175	8142	5705
1176	8149	5698
1177	8156	5691
1178	8163	5684
1179	8170	5677
